transaction_id,store_id,timestamp,basket_value_inr
TXN_00001,STORE_PURPLLE_001,2026-04-10T20:12:52Z,2796.51
TXN_00002,STORE_PURPLLE_001,2026-04-10T20:12:31Z,3454.19
TXN_00003,STORE_PURPLLE_001,2026-04-10T20:13:31Z,3051.48
TXN_00004,STORE_PURPLLE_001,2026-04-10T20:13:23Z,3086.1
TXN_00005,STORE_PURPLLE_001,2026-04-10T20:13:18Z,1578.39
TXN_00006,STORE_PURPLLE_001,2026-04-10T20:12:56Z,1805.57
TXN_00007,STORE_PURPLLE_001,2026-04-10T20:12:51Z,2985.74
TXN_00008,STORE_PURPLLE_001,2026-04-10T20:11:52Z,904.23
TXN_00009,STORE_PURPLLE_001,2026-04-10T20:12:48Z,1501.34
TXN_00010,STORE_PURPLLE_001,2026-04-10T20:14:25Z,2477.54
TXN_00011,STORE_PURPLLE_001,2026-04-10T20:12:32Z,2575.64
TXN_00012,STORE_PURPLLE_001,2026-04-10T20:12:32Z,2519.0
TXN_00013,STORE_PURPLLE_001,2026-04-10T20:12:48Z,621.35
TXN_00014,STORE_PURPLLE_001,2026-04-10T20:13:16Z,2368.43
TXN_00015,STORE_PURPLLE_001,2026-04-10T20:13:18Z,2055.83
TXN_00016,STORE_PURPLLE_001,2026-04-10T20:14:45Z,1158.91
TXN_00017,STORE_PURPLLE_001,2026-04-10T20:13:16Z,1833.01
TXN_00018,STORE_PURPLLE_001,2026-04-10T20:13:13Z,1236.84
TXN_00019,STORE_PURPLLE_001,2026-04-10T20:14:25Z,3268.71
TXN_00020,STORE_PURPLLE_001,2026-04-10T20:13:17Z,2533.3
TXN_00021,STORE_PURPLLE_001,2026-04-10T20:14:35Z,1080.81
TXN_00022,STORE_PURPLLE_001,2026-04-10T20:13:31Z,1405.28
TXN_00023,STORE_PURPLLE_001,2026-04-10T20:12:28Z,2781.77
TXN_00024,STORE_PURPLLE_001,2026-04-10T20:13:00Z,573.41
TXN_00025,STORE_PURPLLE_001,2026-04-10T20:12:06Z,2947.59
TXN_00026,STORE_PURPLLE_001,2026-04-10T20:14:03Z,2895.64
TXN_00027,STORE_PURPLLE_001,2026-04-10T20:12:47Z,1643.61
TXN_00028,STORE_PURPLLE_001,2026-04-10T20:12:46Z,605.18
TXN_00029,STORE_PURPLLE_001,2026-04-10T20:12:51Z,3230.72
TXN_00030,STORE_PURPLLE_001,2026-04-10T20:14:38Z,2158.26
TXN_00031,STORE_PURPLLE_001,2026-04-10T20:14:14Z,2625.53
TXN_00032,STORE_PURPLLE_001,2026-04-10T20:13:12Z,1059.14
TXN_00033,STORE_PURPLLE_001,2026-04-10T20:12:42Z,1947.62
TXN_00034,STORE_PURPLLE_001,2026-04-10T20:12:33Z,3142.52
TXN_00035,STORE_PURPLLE_001,2026-04-10T20:13:13Z,2392.84
TXN_00036,STORE_PURPLLE_001,2026-04-10T20:12:39Z,842.9
TXN_00037,STORE_PURPLLE_001,2026-04-10T20:13:12Z,832.85
TXN_00038,STORE_PURPLLE_001,2026-04-10T20:14:44Z,2709.47
TXN_00039,STORE_PURPLLE_001,2026-04-10T20:13:12Z,2070.83
TXN_00040,STORE_PURPLLE_001,2026-04-10T20:13:37Z,2715.74
TXN_00041,STORE_PURPLLE_001,2026-04-10T20:12:53Z,1728.14
TXN_00042,STORE_PURPLLE_001,2026-04-10T20:14:23Z,2208.95
TXN_00043,STORE_PURPLLE_001,2026-04-10T20:12:30Z,1522.19
TXN_00044,STORE_PURPLLE_001,2026-04-10T20:14:09Z,3491.71
TXN_00045,STORE_PURPLLE_001,2026-04-10T20:13:18Z,828.83
TXN_00046,STORE_PURPLLE_001,2026-04-10T20:13:29Z,1929.9
TXN_00047,STORE_PURPLLE_001,2026-04-10T20:12:43Z,2742.92
TXN_00048,STORE_PURPLLE_001,2026-04-10T20:14:36Z,3069.42
TXN_00049,STORE_PURPLLE_001,2026-04-10T20:12:32Z,873.81
TXN_00050,STORE_PURPLLE_001,2026-04-10T20:13:15Z,895.94
TXN_00051,STORE_PURPLLE_001,2026-04-10T20:12:59Z,2509.49
TXN_00052,STORE_PURPLLE_001,2026-04-10T20:13:41Z,2248.87
TXN_00053,STORE_PURPLLE_001,2026-04-10T20:13:40Z,1592.78
TXN_00054,STORE_PURPLLE_001,2026-04-10T20:13:13Z,2247.25
TXN_00055,STORE_PURPLLE_001,2026-04-10T20:13:33Z,1850.95
TXN_00056,STORE_PURPLLE_001,2026-04-10T20:12:49Z,1179.38
TXN_00057,STORE_PURPLLE_001,2026-04-10T20:14:07Z,2115.0
TXN_00058,STORE_PURPLLE_001,2026-04-10T20:12:06Z,3321.54
TXN_00059,STORE_PURPLLE_001,2026-04-10T20:14:29Z,2508.88
TXN_00060,STORE_PURPLLE_001,2026-04-10T20:13:50Z,755.11
TXN_00061,STORE_PURPLLE_001,2026-04-10T20:12:52Z,3142.84
